block.0.attn.q_conv.weight,block.0.attn.q_conv.bias,block.0.attn.k_conv.weight,block.0.attn.k_conv.bias,block.0.attn.v_conv.weight,block.0.attn.v_conv.bias,block.0.attn.talking_heads.weight,block.0.attn.proj_conv.weight,block.0.attn.proj_conv.bias,block.0.mlp.fc1_conv.weight,block.0.mlp.fc1_conv.bias,block.0.mlp.fc2_conv.weight,block.0.mlp.fc2_conv.bias,head.bias,head.weight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,6,0,0
0,0,0,0,0,0,0,0,0,0,0,5103,1,0,0
0,0,0,0,0,0,0,0,0,0,0,9753,5,0,0
0,0,0,0,0,0,0,0,0,0,0,9847,7,0,0
0,10,0,6,0,0,0,0,0,0,0,9372,5,0,0
0,16,0,14,0,6,0,0,0,0,0,9528,8,0,0
0,8,0,10,0,13,0,0,0,0,0,9281,5,0,0
0,10,0,11,0,15,0,0,0,0,30,8942,8,0,0
0,14,0,18,0,18,0,0,0,0,90,8746,4,0,0
0,9,0,10,0,8,0,0,0,0,82,8417,11,0,0
0,13,0,12,0,11,0,0,0,0,76,8321,9,0,0
0,5,0,16,0,4,0,33,0,0,81,7981,13,0,0
0,10,0,12,0,17,0,6562,18,0,68,7716,7,0,0
0,17,0,12,0,11,0,7666,35,0,73,7314,12,0,0
0,10,0,2,0,14,9,7041,40,0,64,6982,12,0,0
17030,10,6857,8,7085,19,10,6420,23,38710,65,6742,11,0,4432
15959,10,26065,11,25979,12,15,5521,29,91542,48,6571,6,56,7615
10678,7,14436,15,14183,11,14,4677,23,55207,32,6382,14,41,4589
6180,9,5761,8,5794,12,7,3904,16,25061,44,5836,9,3,2322
3190,11,1896,9,1869,6,9,3158,23,8877,41,5689,11,0,1097
1519,8,508,9,577,5,0,2552,15,2567,32,5297,16,0,365
637,5,138,13,164,8,0,1959,11,673,29,5061,11,0,52
293,7,33,6,40,5,0,1546,10,135,20,4887,7,0,7
121,10,9,3,9,9,0,1197,5,37,13,4502,4,0,1
46,6,1,5,2,8,0,861,5,13,20,4307,6,0,0
32,7,0,4,3,5,0,662,2,0,15,3952,8,0,0
10,4,1,4,1,11,0,515,0,0,14,3737,4,0,0
6,2,1,1,0,4,0,371,0,0,10,3617,3,0,0
1,5,0,6,0,2,0,276,0,0,4,3244,5,0,0
3,6,0,4,0,7,0,207,0,0,4,3011,3,0,0
0,6,0,5,0,3,0,147,1,0,8,2723,4,0,0
0,3,0,2,0,2,0,105,0,0,6,2688,2,0,0
0,6,0,2,0,2,0,80,0,0,8,2408,3,0,0
1,12,0,17,0,7,0,234,0,0,27,20111,16,0,0
0,0,0,1,0,1,0,11,0,0,7,4034,0,0,0
0,0,0,0,0,0,0,0,0,0,4,631,0,0,0
0,0,0,0,0,0,0,1,0,0,4,73,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
